date,CRV_price
2022-01-01,6.203
2022-01-02,6.041
2022-01-03,6.518
2022-01-04,6.078
2022-01-05,5.403
2022-01-06,5.403
2022-01-07,5.003
2022-01-08,4.602
2022-01-09,4.503
2022-01-10,4.317
2022-01-11,4.607
2022-01-12,4.904
2022-01-13,5.025
2022-01-14,5.341
2022-01-15,5.276
2022-01-16,5.141
2022-01-17,4.78
2022-01-18,4.554
2022-01-19,4.188
2022-01-20,3.964
2022-01-21,3.308
2022-01-22,2.885
2022-01-23,3.019
2022-01-24,2.818
2022-01-25,3.015
2022-01-26,2.87
2022-01-27,2.785
2022-01-28,2.917
2022-01-29,2.991
2022-01-30,3.183
2022-01-31,3.272
2022-02-01,3.461
2022-02-02,3.107
2022-02-03,3.117
2022-02-04,3.431
2022-02-05,3.419
2022-02-06,3.377
2022-02-07,3.554
2022-02-08,3.419
2022-02-09,3.496
2022-02-10,3.19
2022-02-11,2.889
2022-02-12,2.873
2022-02-13,2.745
2022-02-14,2.903
2022-02-15,3.177
2022-02-16,3.168
2022-02-17,2.907
2022-02-18,2.805
2022-02-19,2.8
2022-02-20,2.55
2022-02-21,2.338
2022-02-22,2.394
2022-02-23,2.285
2022-02-24,2.237
2022-02-25,2.359
2022-02-26,2.394
2022-02-27,2.188
2022-02-28,2.442
2022-03-01,2.545
2022-03-02,2.645
2022-03-03,2.506
2022-03-04,2.252
2022-03-05,2.248
2022-03-06,2.062
2022-03-07,1.978
2022-03-08,2.035
2022-03-09,2.156
2022-03-10,2.041
2022-03-11,1.97
2022-03-12,1.977
2022-03-13,1.919
2022-03-14,1.952
2022-03-15,1.952
2022-03-16,2.09
2022-03-17,2.126
2022-03-18,2.243
2022-03-19,2.287
2022-03-20,2.147
2022-03-21,2.195
2022-03-22,2.266
2022-03-23,2.383
2022-03-24,2.382
2022-03-25,2.283
2022-03-26,2.411
2022-03-27,2.618
2022-03-28,2.581
2022-03-29,2.809
2022-03-30,2.815
2022-03-31,2.636
2022-04-01,2.8
2022-04-02,2.895
2022-04-03,2.951
2022-04-04,2.916
2022-04-05,2.807
2022-04-06,2.498
2022-04-07,2.542
2022-04-08,2.341
2022-04-09,2.473
2022-04-10,2.404
2022-04-11,2.168
2022-04-12,2.22
2022-04-13,2.296
2022-04-14,2.227
2022-04-15,2.225
2022-04-16,2.236
2022-04-17,2.194
2022-04-18,2.186
2022-04-19,2.311
2022-04-20,2.33
2022-04-21,2.195
2022-04-22,2.483
2022-04-23,2.665
2022-04-24,2.701
2022-04-25,2.741
2022-04-26,2.367
2022-04-27,2.49
2022-04-28,2.397
2022-04-29,2.23
2022-04-30,1.995
2022-05-01,2.068
2022-05-02,2.1
2022-05-03,2.155
2022-05-04,2.596
2022-05-05,2.459
2022-05-06,2.293
2022-05-07,2.227
2022-05-08,2.346
2022-05-09,1.912
2022-05-10,1.976
2022-05-11,1.51
2022-05-12,1.307
2022-05-13,1.317
2022-05-14,1.416
2022-05-15,1.51
2022-05-16,1.365
2022-05-17,1.392
2022-05-18,1.229
2022-05-19,1.081
2022-05-20,1.128
