date,LDO_price
2022-05-09,2.0
2022-05-10,2.009
2022-05-11,1.523
2022-05-12,1.404
2022-05-13,1.497
2022-05-14,1.488
2022-05-15,1.468
2022-05-16,1.432
2022-05-17,1.533
2022-05-18,1.36
2022-05-19,1.419
2022-05-20,1.313
2022-05-21,1.336
2022-05-22,1.32
2022-05-23,1.17
2022-05-24,1.099
2022-05-25,1.083
2022-05-26,1.001
2022-05-27,1.069
2022-05-28,1.028
2022-05-29,1.174
2022-05-30,1.217
2022-05-31,1.055
2022-06-01,1.021
2022-06-02,1.023
2022-06-03,1.007
2022-06-04,1.022
2022-06-05,1.033
2022-06-06,1.058
2022-06-07,1.056
2022-06-08,1.002
2022-06-09,1.023
2022-06-10,1.001
2022-06-11,0.846
2022-06-12,0.801
2022-06-13,0.591
2022-06-14,0.622
2022-06-15,0.621
2022-06-16,0.532
2022-06-17,0.582
2022-06-18,0.464
2022-06-19,0.517
2022-06-20,0.516
2022-06-21,0.544
2022-06-22,0.513
2022-06-23,0.547
2022-06-24,0.631
2022-06-25,0.642
2022-06-26,0.62
2022-06-27,0.576
2022-06-28,0.52
2022-06-29,0.499
2022-06-30,0.453
2022-07-01,0.453
2022-07-02,0.467
2022-07-03,0.506
2022-07-04,0.54
2022-07-05,0.564
2022-07-06,0.616
2022-07-07,0.664
2022-07-08,0.74
2022-07-09,0.68
2022-07-10,0.64
2022-07-11,0.623
2022-07-12,0.639
2022-07-13,0.936
2022-07-14,0.921
2022-07-15,1.139
2022-07-16,1.364
2022-07-17,1.633
2022-07-18,1.528
2022-07-19,1.512
2022-07-20,1.571
2022-07-21,1.628
2022-07-22,1.531
2022-07-23,1.58
2022-07-24,1.645
2022-07-25,1.451
2022-07-26,1.445
2022-07-27,1.916
2022-07-28,2.261
2022-07-29,2.446
2022-07-30,2.328
2022-07-31,2.149
2022-08-01,2.085
2022-08-02,2.289
2022-08-03,2.588
2022-08-04,2.428
2022-08-05,2.659
2022-08-06,2.612
2022-08-07,2.468
2022-08-08,2.384
2022-08-09,2.267
2022-08-10,2.71
2022-08-11,2.635
2022-08-12,2.823
2022-08-13,2.941
2022-08-14,2.675
2022-08-15,2.752
2022-08-16,2.574
2022-08-17,2.474
2022-08-18,2.239
2022-08-19,1.861
2022-08-20,1.859
2022-08-21,2.159
2022-08-22,2.188
2022-08-23,2.136
2022-08-24,2.172
2022-08-25,2.008
2022-08-26,1.736
2022-08-27,1.629
2022-08-28,1.59
2022-08-29,1.882
2022-08-30,1.792
2022-08-31,1.979
2022-09-01,2.075
2022-09-02,2.191
2022-09-03,2.007
2022-09-04,2.062
2022-09-05,2.03
2022-09-06,1.853
2022-09-07,1.96
2022-09-08,1.885
2022-09-09,2.058
2022-09-10,2.105
2022-09-11,2.088
2022-09-12,1.993
2022-09-13,1.835
2022-09-14,1.828
2022-09-15,1.7
2022-09-16,1.78
2022-09-17,1.897
2022-09-18,1.691
2022-09-19,1.821
2022-09-20,1.789
2022-09-21,1.818
2022-09-22,1.796
2022-09-23,1.753
2022-09-24,1.685
2022-09-25,1.577
2022-09-26,1.628
2022-09-27,1.601
2022-09-28,1.617
2022-09-29,1.604
2022-09-30,1.581
2022-10-01,1.509
2022-10-02,1.435
2022-10-03,1.527
2022-10-04,1.579
2022-10-05,1.529
2022-10-06,1.5
2022-10-07,1.478
2022-10-08,1.474
2022-10-09,1.456
2022-10-10,1.31
2022-10-11,1.323
2022-10-12,1.27
2022-10-13,1.264
2022-10-14,1.291
2022-10-15,1.342
2022-10-16,1.348
2022-10-17,1.532
2022-10-18,1.462
2022-10-19,1.399
2022-10-20,1.506
2022-10-21,1.531
2022-10-22,1.515
2022-10-23,1.539
2022-10-24,1.51
2022-10-25,1.643
2022-10-26,1.712
2022-10-27,1.632
2022-10-28,1.673
2022-10-29,1.634
2022-10-30,1.557
2022-10-31,1.528
2022-11-01,1.493
2022-11-02,1.529
2022-11-03,1.622
2022-11-04,1.75
2022-11-05,1.702
2022-11-06,1.576
2022-11-07,1.677
2022-11-08,1.298
2022-11-09,0.926
2022-11-10,1.202
2022-11-11,1.183
2022-11-12,1.094
2022-11-13,1.056
2022-11-14,1.119
2022-11-15,1.202
2022-11-16,1.22
2022-11-17,1.232
2022-11-18,1.222
2022-11-19,1.197
2022-11-20,1.108
2022-11-21,1.108
2022-11-22,1.124
2022-11-23,1.162
2022-11-24,1.14
2022-11-25,1.113
2022-11-26,1.08
2022-11-27,1.075
2022-11-28,1.08
2022-11-29,1.099
2022-11-30,1.136
2022-12-01,1.106
2022-12-02,1.125
2022-12-03,1.093
2022-12-04,1.107
2022-12-05,1.079
2022-12-06,1.061
2022-12-07,1.006
2022-12-08,1.048
2022-12-09,1.044
2022-12-10,1.024
2022-12-11,1.03
2022-12-12,1.065
2022-12-13,1.128
2022-12-14,1.134
2022-12-15,1.141
2022-12-16,1.015
2022-12-17,0.994
2022-12-18,0.981
2022-12-19,0.95
2022-12-20,0.989
2022-12-21,0.94
2022-12-22,0.896
2022-12-23,0.938
2022-12-24,0.946
2022-12-25,0.97
2022-12-26,1.039
2022-12-27,1.012
2022-12-28,0.954
2022-12-29,0.961
2022-12-30,0.964
2022-12-31,0.953
2023-01-01,1.08
2023-01-02,1.21
2023-01-03,1.203
2023-01-04,1.38
2023-01-05,1.339
2023-01-06,1.52
2023-01-07,1.488
2023-01-08,1.969
2023-01-09,1.94
2023-01-10,1.928
2023-01-11,1.895
2023-01-12,2.052
2023-01-13,2.101
2023-01-14,2.163
2023-01-15,2.221
2023-01-16,2.122
2023-01-17,1.998
2023-01-18,1.975
2023-01-19,1.97
2023-01-20,2.348
2023-01-21,2.396
2023-01-22,2.207
2023-01-23,2.525
2023-01-24,2.374
2023-01-25,2.533
2023-01-26,2.33
2023-01-27,2.39
2023-01-28,2.24
2023-01-29,2.3
2023-01-30,2.071
2023-01-31,2.199
2023-02-01,2.307
2023-02-02,2.266
2023-02-03,2.355
2023-02-04,2.21
2023-02-05,2.049
2023-02-06,2.201
2023-02-07,2.581
2023-02-08,2.561
2023-02-09,2.633
2023-02-10,2.279
2023-02-11,2.369
2023-02-12,2.507
2023-02-13,2.388
2023-02-14,2.57
2023-02-15,2.854
2023-02-16,2.596
2023-02-17,3.031
2023-02-18,3.25
2023-02-19,2.942
2023-02-20,2.926
2023-02-21,2.794
2023-02-22,2.907
2023-02-23,2.996
2023-02-24,2.871
2023-02-25,2.929
2023-02-26,3.12
2023-02-27,3.268
2023-02-28,3.003
2023-03-01,3.021
2023-03-02,3.019
2023-03-03,2.82
2023-03-04,2.553
2023-03-05,2.624
2023-03-06,2.59
2023-03-07,2.553
2023-03-08,2.359
2023-03-09,2.28
2023-03-10,2.307
2023-03-11,2.13
2023-03-12,2.45
2023-03-13,2.671
2023-03-14,2.754
2023-03-15,2.299
2023-03-16,2.391
2023-03-17,2.552
2023-03-18,2.476
2023-03-19,2.471
2023-03-20,2.285
2023-03-21,2.406
2023-03-22,2.366
2023-03-23,2.314
2023-03-24,2.142
2023-03-25,2.041
2023-03-26,2.149
2023-03-27,2.101
2023-03-28,2.332
2023-03-29,2.38
2023-03-30,2.33
2023-03-31,2.453
2023-04-01,2.406
2023-04-02,2.337
2023-04-03,2.401
2023-04-04,2.583
2023-04-05,2.595
2023-04-06,2.596
2023-04-07,2.486
2023-04-08,2.384
2023-04-09,2.345
2023-04-10,2.463
2023-04-11,2.329
2023-04-12,2.326
2023-04-13,2.446
2023-04-14,2.627
2023-04-15,2.503
2023-04-16,2.572
2023-04-17,2.492
2023-04-18,2.526
2023-04-19,2.257
2023-04-20,2.139
2023-04-21,2.045
2023-04-22,2.102
2023-04-23,2.077
2023-04-24,2.082
