date,WETH,WBTC,WETH_price,WBTC_price,WETH_usd_volume,WBTC_usd_volume,daily_volume_usd,fees_usd
2023-01-01,877.70041268,12113.351740753375,1200.34,16616.75,1053538.9133563112,201284537.53816363,202338076.45151994,101169.03822575997
2023-01-02,763.49007968,10500.82639519711,1214.0,16672.87,926876.95673152,175078913.37969002,176005790.33642155,88002.89516821077
2023-01-03,379.30866827,5210.6179454549565,1214.55,16675.18,460689.34304732847,86887992.15169159,87348681.49473892,43674.34074736946
2023-01-04,1265.62968288,17065.001483946133,1256.9,16850.36,1590769.9484118721,287551418.40502656,289142188.35343844,144571.09417671923
2023-01-05,441.66069298,5933.346873679164,1251.24,16831.85,552623.5254842952,99869204.57573663,100421828.10122092,50210.91405061046
2023-01-06,1014.58765009,13556.160067900508,1269.14,16950.65,1287653.7702352228,229785724.65495777,231073378.42519298,115536.6892125965
2023-01-07,345.34540817,4619.821419510978,1264.07,16943.57,436540.77010545187,78276267.60898362,78712808.37908907,39356.40418954453
2023-01-08,613.36973503,8199.712517983853,1290.16,17127.83,791345.0973463049,140443282.0568994,141234627.1542457,70617.31357712286
2023-01-09,3848.99668789,50467.218230991035,1320.39,17178.26,5082176.7367230775,866938996.248704,872021172.985427,436010.58649271354
2023-01-10,915.00459974,11896.677603452768,1335.62,17440.66,1222098.4435047386,207485909.21143454,208708007.6549393,104354.00382746966
2023-01-11,1521.75120391,19873.10579457775,1389.39,17943.26,2114305.905200515,356588304.2796151,358702610.18481565,179351.30509240783
2023-01-12,3869.113377,50611.072264569106,1415.92,18846.62,5478355.012761841,953847646.7628733,959326001.7756351,479663.0008878176
2023-01-13,3523.18872466,47574.27530896759,1451.2,19930.01,5112851.477226592,948155782.650477,953268634.1277037,476634.31706385186
2023-01-14,5609.9388407,75944.91365274119,1549.9,20954.92,8694844.20920093,1591419590.0000992,1600114434.2093,800057.21710465
2023-01-15,1254.23853294,16936.530511115725,1552.52,20871.5,1947230.4071600086,353490796.5627518,355438026.9699118,177719.0134849559
2023-01-16,2762.28130685,37163.75755861077,1576.94,21185.65,4355951.884024039,787338360.3215823,791694312.2056063,395847.1561028032
2023-01-17,1388.28154882,18702.12990908926,1565.57,21134.81,2173451.944386127,395265962.2239188,397439414.1683049,198719.70708415247
2023-01-18,2673.59518617,36183.82622736736,1511.43,20677.47,4040951.9722329234,748189981.3016018,752230933.2738347,376115.4666369174
2023-01-19,1189.00067051,16170.126434265294,1551.09,21071.59,1844247.0500213557,340730274.47100025,342574521.5210216,171287.2607605108
2023-01-20,1805.24177581,24422.6757523397,1658.52,22667.21,2994029.5900164014,553593920.0401919,556587949.6302083,278293.97481510416
2023-01-21,4092.72069132,56689.52002732067,1626.66,22783.55,6657465.039742591,1291588514.018462,1298245979.0582047,649122.9895291023
2023-01-22,1910.12175979,26623.691851199088,1627.44,22707.88,3108608.5567526375,604567599.7140068,607676208.2707595,303838.1041353797
2023-01-23,1513.64760334,21193.17273250135,1626.29,22916.45,2461629.9608358084,485672283.26573056,488133913.2265664,244066.9566132832
2023-01-24,3207.08630236,45528.354516242536,1555.97,22632.89,4990130.073883089,1030438239.6471205,1035428369.7210035,517714.1848605018
2023-01-25,6146.57656234,88772.71654522944,1611.94,23060.94,9907912.62389834,2047182289.8865433,2057090202.5104415,1028545.1012552208
2023-01-26,2853.52842176,40824.45039935489,1601.09,23009.65,4568755.820795719,939356315.1315163,943925070.9523121,471962.53547615604
2023-01-27,2080.49890041,30140.755791063075,1597.62,23074.16,3323846.6532730237,695472621.643916,698796468.297189,349398.2341485945
2023-01-28,1494.05961924,21650.804312628028,1572.1,23022.6,2348811.127407204,498457807.36791,500806618.4953172,250403.30924765862
2023-01-29,2768.85291571,40138.88325816175,1644.72,23742.3,4553987.767526551,952989407.9802538,957543395.7477803,478771.69787389017
2023-01-30,3242.06519302,47045.98392007893,1566.2,22826.15,5077722.505307924,1073878685.8573096,1078956408.3626175,539478.2041813087
2023-01-31,1531.81237873,22226.710486421383,1585.33,23125.13,2428428.118372031,513995569.47085774,516423997.58922976,258211.9987946149
2023-02-01,1716.72871617,24928.655422537428,1641.68,23732.66,2818319.198761966,591623303.4002371,594441622.598999,297220.81129949953
2023-02-02,2952.2085568,42029.26175565638,1643.12,23488.94,4850832.923849216,987222807.6229073,992073640.5467565,496036.8202733783
2023-02-03,2049.71736207,29112.665084592805,1663.52,23431.9,3409745.8261506865,682165056.9956702,685574802.8218209,342787.4014109104
2023-02-04,1363.94822127,19077.97022774628,1666.38,23326.84,2272856.036959903,445028759.027401,447301615.06436086,223650.80753218042
2023-02-05,1897.60891276,26649.76099155823,1629.02,22932.91,3091242.871064295,611156570.3409156,614247813.2119799,307123.90660598996
2023-02-06,2678.46738764,37140.5909066501,1614.29,22762.52,4323823.119193376,845413443.324441,849737266.4436344,424868.6332218172
2023-02-07,2106.08985149,29434.705071508546,1671.03,23240.46,3519339.3245353345,684076085.8261914,687595425.1507268,343797.7125753634
2023-02-08,1683.95134365,23370.77952690522,1650.43,22963.0,2779243.8161002696,536663210.2763245,539442454.0924248,269721.22704621236
2023-02-09,2544.42897088,35589.032155074776,1545.35,21796.35,3932033.310149408,775711001.0132641,779643034.3234135,389821.51716170675
2023-02-10,2076.53108268,29488.04535806348,1513.06,21625.19,3141916.119959801,637684583.5967407,640826499.7167006,320413.24985835026
2023-02-11,976.28830848,13925.144488227412,1538.51,21862.55,1502029.3254795647,304439167.6310962,305941196.95657575,152970.59847828787
2023-02-12,909.58175069,13026.464809004263,1514.83,21783.54,1377861.7233977327,283762517.2255367,285140378.94893444,142570.18947446722
2023-02-13,3027.27942726,43812.04098872377,1505.24,21773.97,4556782.085088843,953962066.1272417,958518848.2123306,479259.4241061653
2023-02-14,2371.26922515,34056.30610423985,1555.71,22199.84,3689007.246258106,756044546.5051479,759733553.7514061,379866.7768757031
2023-02-15,2135.56615228,30789.6427063924,1674.92,24324.05,3576902.459776818,748928808.672424,752505711.1322007,376252.8555661004
2023-02-16,3081.3671164,44801.71068855219,1637.84,23517.72,5046786.317924576,1053634087.4943777,1058680873.8123024,529340.4369061512
2023-02-17,2871.60378157,41312.36508704195,1693.87,24569.97,4864123.497487976,1015043570.8176682,1019907694.3151562,509953.8471575781
2023-02-18,1032.57258965,15015.724279410015,1691.62,24631.95,1746720.444103733,369866569.66421354,371613290.10831726,185806.64505415864
2023-02-19,1599.23095891,23234.36239051132,1679.75,24271.76,2686308.2032290725,563938867.695517,566625175.898746,283312.587949373
2023-02-20,1894.29042745,27510.394559339416,1703.27,24842.2,3226488.056362761,683418723.7220217,686645211.7783844,343322.60588919226
2023-02-21,2464.79271155,36157.77872804606,1659.76,24452.16,4090964.3509222283,884135790.7027788,888226755.053701,444113.37752685056
2023-02-22,2134.97140255,31417.31170845517,1643.14,24182.21,3508056.9103860077,759740029.3693217,763248086.2797077,381624.04313985386
2023-02-23,2003.55893914,29144.858536119584,1650.53,23940.2,3306934.135818744,697733742.32641,701040676.4622288,350520.3382311144
2023-02-24,1658.24183912,24023.207832568256,1607.8,23185.29,2666121.2289371355,556985040.3283665,559651161.5573037,279825.5807786518
2023-02-25,1267.86888663,18347.792452070236,1594.58,23157.07,2021718.3692424651,424881114.1580621,426902832.5273046,213451.4162636523
2023-02-26,789.32673647,11390.108325633686,1641.36,23554.85,1295569.3321723992,268292293.0940526,269587862.426225,134793.93121311252
2023-02-27,1844.18842167,26434.886639977994,1633.45,23492.09,3012389.5773768616,621010736.0861607,624023125.6635375,312011.56283176877
2023-02-28,1001.01626677,14373.725746848006,1605.23,23141.57,1606861.3419072072,332630580.5314854,334237441.8733926,167118.7209366963
2023-03-01,1545.80331446,22205.97386957559,1665.22,23628.97,2574102.595305081,524704290.38498557,527278392.98029065,263639.19649014535
2023-03-02,857.9128256,12242.773196715989,1647.86,23465.32,1413720.228793216,287280590.7483636,288694310.9771568,144347.1554885784
2023-03-03,2077.32730894,29657.932027874842,1569.45,22354.34,3260261.345015883,662983496.2480037,666243757.5930196,333121.8787965098
2023-03-04,613.4595661,8746.183716224565,1566.73,22346.57,961125.505995853,195447206.64747238,196408332.15346822,98204.16607673411
2023-03-05,1169.12051368,16699.760496861458,1564.58,22430.24,1829182.5732934542,374579635.8871218,376408818.46041524,188204.40923020762
2023-03-06,536.63788888,7679.07018002364,1565.84,22410.0,840289.0719238592,172087962.7343298,172928251.80625364,86464.12590312683
2023-03-07,1065.5154143,15213.524555265009,1561.96,22197.96,1664292.456520028,337709209.53679043,339373501.99331045,169686.75099665523
2023-03-08,1508.70339001,21344.599803218844,1532.38,21705.44,2311906.900783524,463293930.3527784,465605837.2535619,232802.91862678097
2023-03-09,3389.95196233,47673.45384205052,1437.32,20362.22,4872445.754496155,970737355.291678,975609801.046174,487804.900523087
2023-03-10,6518.88166747,92429.5594910335,1426.44,20150.69,9298793.565745907,1862519400.140374,1871818193.7061198,935909.09685306
2023-03-11,13419.26262532,190158.4014369507,1471.97,20455.73,19752752.00659228,3889828917.025875,3909581669.0324674,1954790.8345162338
2023-03-12,6045.88497862,84046.34621281744,1580.33,21997.11,9554493.408262543,1848776722.7414289,1858331216.1496913,929165.6080748457
2023-03-13,9086.18771642,128609.79074017589,1673.45,24113.48,15205280.834043048,3101229616.817416,3116434897.651459,1558217.4488257295
2023-03-14,10287.31700766,150157.34823902074,1699.4,24670.41,17482266.522817403,3704443345.5694194,3721925612.092237,1860962.8060461185
2023-03-15,7257.17418404,107010.3431518697,1649.96,24285.66,11974047.11669864,2598816810.269636,2610790857.386335,1305395.4286931674
2023-03-16,1959.87604634,29175.707780143875,1673.73,24998.78,3280303.335040648,729357100.1401051,732637403.4751458,366318.7017375729
2023-03-17,7486.96805881,114677.53301047636,1789.27,27395.13,13396207.33858697,3141605924.9012914,3155002132.239878,1577501.066119939
2023-03-18,5576.70399867,84755.17454707978,1758.84,26907.49,9808530.061020743,2280549011.573804,2290357541.6348248,1145178.7708174123
2023-03-19,5205.23247318,80371.74791348289,1780.68,27972.87,9268853.360342162,2248228456.056628,2257497309.4169703,1128748.6547084851
2023-03-20,5737.87578518,90743.04813067487,1732.78,27717.01,9942476.4030442,2515125972.4683967,2525068448.871441,1262534.2244357204
2023-03-21,4897.12334721,76986.77671492216,1801.23,28105.47,8820845.486695068,2163749543.3579435,2172570388.844639,1086285.1944223195
2023-03-22,5167.08219887,81559.63155335932,1734.33,27250.97,8961425.669966206,2222579072.671648,2231540498.3416142,1115770.2491708072
2023-03-23,3684.49996299,57572.14905605809,1813.79,28295.41,6682909.187871632,1629027562.1222768,1635710471.3101485,817855.2356550742
2023-03-24,2464.05261162,38798.31933567284,1749.57,27454.47,4311032.527712003,1065187294.2516499,1069498326.7793618,534749.1633896809
2023-03-25,738.06656796,11642.7094370114,1741.88,27462.95,1285623.393398165,319743147.1331722,321028770.5265704,160514.3852632852
2023-03-26,1548.01920982,24468.814149161015,1773.88,27968.05,2746000.3159155017,684345017.5644428,687091017.8803582,343545.50894017913
2023-03-27,2292.71798705,36269.49415655542,1715.22,27124.91,3932515.745747901,983806764.7420917,987739280.4878396,493869.6402439198
