date,WETH,LDO,WETH_price,LDO_price,WETH_usd_volume,LDO_usd_volume,daily_volume_usd,fees_usd
2023-01-01,10806592.287120776,9473.994767930975,1200.34,1.08,12971584985.922552,10231.914349365454,12971595217.8369,38914785.653510705
2023-01-02,13591649.972286614,13214.562058648276,1214.0,1.21,16500263066.35595,15989.620090964414,16500279055.97604,49500837.16792812
2023-01-03,7031745.120626031,7140.381886576912,1214.55,1.203,8540406036.256346,8589.879409552026,8540414626.135756,25621243.878407266
2023-01-04,13269677.28536986,14277.510777685058,1256.9,1.38,16678657379.981379,19702.96487320538,16678677082.94625,50036031.24883875
2023-01-05,5166873.590037173,5616.983978540252,1251.24,1.339,6464998910.798112,7521.141547265397,6465006431.939659,19395019.295818977
2023-01-06,8045038.055314437,8917.808428682245,1269.14,1.52,10210279597.521765,13555.068811597013,10210293152.590576,30630879.45777173
2023-01-07,2715848.4447728223,3218.924593272733,1264.07,1.488,3433022543.5839815,4789.759794789827,3433027333.343776,10299082.00003133
2023-01-08,14130121.262746094,20330.098040497778,1290.16,1.969,18230117248.3445,40029.96304174013,18230157278.307545,54690471.834922634
2023-01-09,8003285.932268195,11628.798691001353,1320.39,1.94,10567458712.107603,22559.869460542624,10567481271.977064,31702443.815931194
2023-01-10,6818903.413251208,10197.973434851996,1335.62,1.928,9107463776.806578,19661.692782394646,9107483438.49936,27322450.315498076
2023-01-11,6139666.797366456,8463.302874176727,1389.39,1.895,8530391651.592981,16037.958946564897,8530407689.551928,25591223.06865578
2023-01-12,12196463.0984083,17092.829490388896,1415.92,2.052,17269216030.298283,35074.486114278014,17269251104.784397,51807753.31435319
2023-01-13,9186056.51685374,13173.124745705994,1451.2,2.101,13330805217.258148,27676.735090728293,13330832893.993238,39992498.681979716
2023-01-14,12672950.762883784,18099.388940135526,1549.9,2.163,19641806387.393578,39148.97827751314,19641845536.371857,58925536.60911557
2023-01-15,9808903.94765371,14550.721301126807,1552.52,2.221,15228519556.811338,32317.152009802638,15228551873.963348,45685655.621890046
2023-01-16,7327093.192775365,10162.881899265047,1576.94,2.122,11554386339.415184,21565.63539024043,11554407905.050573,34663223.71515172
2023-01-17,4439745.579999679,5849.53143479752,1565.57,1.998,6950732487.680097,11687.363806725445,6950744175.043903,20852232.52513171
